suite,config_id,label,workload,max_tokens,median_tok_per_s,acceptance_rate,status,source,notes
2b-mtp,Base-FP16,FP16 baseline,medium,256,115.3673,,ok,mtp/summary.csv,
2b-mtp,Base-FP16,FP16 baseline,long,512,115.9683,,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n1,FP16 MTP n=1,medium,256,126.4198,0.5179,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n1,FP16 MTP n=1,long,512,133.4724,0.6019,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n3,FP16 MTP n=3,medium,256,119.6821,0.3604,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n3,FP16 MTP n=3,long,512,120.5557,0.3563,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n5,FP16 MTP n=5,medium,256,94.2563,0.2231,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n5,FP16 MTP n=5,long,512,91.1194,0.2071,ok,mtp/summary.csv,
2b-mtp,Base-AWQ4,AWQ4 baseline,medium,256,161.9228,,ok,mtp/summary.csv,
2b-mtp,Base-AWQ4,AWQ4 baseline,long,512,164.0500,,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n1,AWQ4 MTP n=1,medium,256,180.2817,0.6776,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n1,AWQ4 MTP n=1,long,512,172.9146,0.6019,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n3,AWQ4 MTP n=3,medium,256,151.0324,0.3932,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n3,AWQ4 MTP n=3,long,512,140.5435,0.3399,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n5,AWQ4 MTP n=5,medium,256,116.7351,0.2554,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n5,AWQ4 MTP n=5,long,512,108.3598,0.2223,ok,mtp/summary.csv,
2b-mtp,Base-FP8,FP8 baseline,medium,256,122.3125,,ok,mtp/summary.csv,
2b-mtp,Base-FP8,FP8 baseline,long,512,123.8810,,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n1,FP8 MTP n=1,medium,256,143.0967,0.5706,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n1,FP8 MTP n=1,long,512,147.3381,0.5969,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n3,FP8 MTP n=3,medium,256,112.6265,0.2611,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n3,FP8 MTP n=3,long,512,131.1140,0.3618,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n5,FP8 MTP n=5,medium,256,88.4895,0.1696,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n5,FP8 MTP n=5,long,512,100.1565,0.2221,ok,mtp/summary.csv,
4b-dflash,Base-FP8,FP8 baseline,medium,256,59.7991,,ok,d-flash/summary.csv,
4b-dflash,Base-FP8,FP8 baseline,long,512,59.9672,,ok,d-flash/summary.csv,
4b-dflash,DFlash-FP8-n15,FP8 D-Flash n=15,medium,256,62.7913,0.0400,ok,d-flash/summary.csv,
4b-dflash,DFlash-FP8-n15,FP8 D-Flash n=15,long,512,70.9829,0.0535,ok,d-flash/summary.csv,
4b-mtp,MTP-FP8-n3,FP8 MTP n=3,medium,256,70.3297,0.3307,ok,d-flash/mtp_summary.csv,
4b-mtp,MTP-FP8-n3,FP8 MTP n=3,long,512,70.5915,0.3333,ok,d-flash/mtp_summary.csv,
ollama,qwen35-2b-bench,qwen35-2b-bench,medium,256,155.9155,,ok,ollama/summary.csv,
ollama,qwen35-2b-bench,qwen35-2b-bench,long,512,155.8933,,ok,ollama/summary.csv,
