engine,model,workload,max_tokens,run_index,total_duration_ns,load_duration_ns,prompt_eval_count,prompt_eval_duration_ns,eval_count,eval_duration_ns,total_tok_per_s,eval_tok_per_s,status
ollama,qwen35-2b-bench,medium,256,1,1855577659,143153959,83,18577881,256,1616261912,137.9624,158.3902,ok
ollama,qwen35-2b-bench,medium,256,2,1830519936,122133731,83,18738085,256,1614251019,139.8510,158.5875,ok
ollama,qwen35-2b-bench,medium,256,3,1828809482,118364754,83,18522750,256,1616193704,139.9818,158.3969,ok
ollama,qwen35-2b-bench,medium,256,4,1857438410,145540304,83,18907798,256,1616140150,137.8242,158.4021,ok
ollama,qwen35-2b-bench,medium,256,5,1830069569,119953958,83,18705317,256,1617335618,139.8854,158.2850,ok
ollama,qwen35-2b-bench,long,512,1,3531082608,121368230,113,20345911,512,3239239419,144.9980,158.0618,ok
ollama,qwen35-2b-bench,long,512,2,3542865617,131566341,113,20044921,512,3239932039,144.5158,158.0280,ok
ollama,qwen35-2b-bench,long,512,3,3551743822,137997753,113,19998991,512,3242082252,144.1545,157.9232,ok
ollama,qwen35-2b-bench,long,512,4,3526976848,128149468,113,19931964,512,3228600222,145.1668,158.5827,ok
ollama,qwen35-2b-bench,long,512,5,3544103726,135518326,113,20180011,512,3235512629,144.4653,158.2439,ok
